City,Date,Time,Temperature (°C),Weather,Humidity (%),Pressure (hPa),Wind Speed (m/s),Cloudiness (%)
Los Angeles,2025-05-31,12:58:01,17.58,overcast clouds,86,1014,2.06,100
Muscat,2025-05-31,13:55:17,39.89,scattered clouds,27,1000,4.62,26
London,2025-05-31,13:58:35,22.22,broken clouds,64,1017,2.57,75
Paris,2025-05-31,13:58:54,22.63,broken clouds,78,1018,2.57,75
Riyadh,2025-05-31,14:00:12,38.36,scattered clouds,7,1008,1.97,34
Dubai,2025-05-31,13:48:48,37.96,clear sky,41,1001,6.69,0
Tokyo,2025-05-31,13:54:36,16.37,broken clouds,78,997,12.86,75
Los Angeles,2025-05-31,14:00:14,16.84,clear sky,90,1013,1.26,0
Muscat,2025-05-31,14:56:47,39.24,few clouds,30,1000,3.89,21
London,2025-05-31,14:52:04,23.04,broken clouds,60,1017,3.09,75
Paris,2025-05-31,14:49:54,23.77,light rain,76,1018,2.06,100
Riyadh,2025-05-31,14:53:54,38.96,scattered clouds,6,1008,1.03,40
Dubai,2025-05-31,14:50:25,36.96,clear sky,47,1001,6.17,0
Tokyo,2025-05-31,14:55:03,16.11,broken clouds,80,998,12.35,75
Los Angeles,2025-05-31,14:46:14,17.37,haze,87,1013,2.06,40
Muscat,2025-05-31,15:58:18,38.82,few clouds,30,999,3.22,21
London,2025-05-31,15:58:12,24.35,broken clouds,55,1016,2.24,52
Paris,2025-05-31,15:55:38,23.94,light rain,75,1017,3.09,100
Riyadh,2025-05-31,15:55:31,39.29,broken clouds,6,1007,0.33,52
